t,X,Y,Z
0.049867,0.0625,-0.0625,0.984375
0.050193,0.023438,-0.0625,0.976562
0.050519,0.070312,-0.117188,1.0
0.050845,0.023438,-0.085938,0.984375
0.051171,0.023438,-0.09375,0.96875
0.051497,0.054688,-0.054688,1.0
0.051822,0.015625,-0.09375,1.023438
0.052148,0.054688,-0.0625,0.960938
0.052474,0.070312,-0.070312,0.984375
0.0528,0.039062,-0.101562,0.984375
0.053126,0.054688,-0.09375,0.984375
0.053452,0.046875,-0.109375,0.984375
0.053778,0.054688,-0.101562,0.992188
0.054104,0.03125,-0.0625,0.960938
0.05443,0.03125,-0.054688,0.976562
0.054756,0.0625,-0.03125,0.984375
0.055082,0.023438,-0.0625,0.992188
0.055408,0.0,-0.054688,0.96875
0.055734,0.078125,-0.054688,1.0
0.056059,0.046875,-0.046875,1.0
0.056385,0.0625,-0.085938,0.945312
0.056711,0.015625,-0.09375,0.960938
0.057037,0.023438,-0.046875,1.0
0.057363,0.046875,-0.078125,0.976562
0.057689,0.0,-0.070312,1.0
0.058015,0.078125,-0.09375,1.023438
0.058341,0.054688,-0.117188,0.976562
0.058667,0.03125,-0.054688,0.992188
0.058993,0.03125,-0.054688,1.023438
0.059319,0.023438,-0.09375,0.992188
0.059645,0.054688,-0.070312,0.976562
0.059971,0.0625,-0.078125,0.992188
0.060297,0.0625,-0.101562,0.992188
0.060622,0.039062,-0.054688,0.992188
0.060948,0.046875,-0.046875,1.007812
0.061274,0.023438,-0.046875,0.945312
0.0616,0.023438,-0.054688,0.953125
0.061926,0.015625,-0.09375,0.992188
0.062252,0.054688,-0.085938,1.03125
0.062578,0.046875,-0.070312,0.960938
0.062904,0.039062,-0.070312,0.96875
0.06323,0.023438,-0.039062,1.015625
0.063556,0.0625,-0.09375,0.953125
0.063882,0.03125,-0.054688,0.992188
0.064208,0.039062,-0.109375,1.0
0.064534,0.054688,-0.039062,1.015625
0.06486,0.054688,-0.039062,1.015625
0.065185,0.03125,-0.023438,0.960938
0.065511,0.039062,-0.0625,0.984375
0.065837,0.023438,-0.078125,1.0
0.066163,0.054688,-0.085938,0.960938
0.066489,0.054688,-0.078125,1.0
0.066815,0.054688,-0.085938,0.992188
0.067141,0.0625,-0.078125,0.976562
0.067467,0.046875,-0.039062,1.0
0.067793,0.039062,-0.054688,0.976562
0.068119,0.0625,-0.085938,1.007812
0.068445,0.039062,-0.085938,1.0
0.068771,0.070312,-0.070312,1.007812
0.069097,0.054688,-0.09375,1.007812
0.069423,0.03125,-0.0625,0.992188
0.069748,0.0625,-0.085938,0.984375
0.070074,0.023438,-0.09375,0.929688
0.0704,0.015625,-0.054688,0.945312
0.070726,0.046875,-0.0625,0.984375
0.071052,0.03125,-0.078125,0.992188
0.071378,0.054688,-0.085938,0.96875
0.071704,0.023438,-0.09375,0.960938
0.07203,0.023438,-0.085938,0.976562
0.072356,0.054688,-0.0625,1.0
0.072682,0.007812,-0.09375,1.0
0.073008,0.03125,-0.0625,0.945312
0.073334,0.070312,-0.101562,0.992188
0.07366,0.03125,-0.101562,0.976562
0.073985,0.039062,-0.070312,0.992188
0.074311,0.03125,-0.101562,0.945312
0.074637,0.070312,-0.101562,1.007812
0.074963,0.0625,-0.0625,0.960938
0.075289,0.0625,-0.0625,1.0
0.075615,0.015625,-0.03125,0.953125
0.075941,0.046875,-0.078125,0.976562
0.076267,0.054688,-0.0625,0.992188
0.076593,0.054688,-0.0625,0.992188
0.076919,0.054688,-0.054688,1.007812
0.077245,0.03125,-0.070312,0.992188
0.077571,0.054688,-0.078125,1.0
0.077897,0.046875,-0.070312,0.960938
0.078223,0.023438,-0.046875,0.898438
0.078548,0.054688,-0.085938,0.984375
0.078874,0.054688,-0.070312,0.960938
0.0792,0.023438,-0.070312,0.984375
0.079526,0.007812,-0.070312,0.976562
0.079852,0.023438,-0.078125,0.992188
0.080178,0.039062,-0.09375,1.007812
0.080504,0.023438,-0.0625,1.0
0.08083,0.070312,-0.0625,0.984375
0.081156,0.046875,-0.09375,1.007812
0.081482,0.054688,-0.0625,0.992188
0.081808,0.070312,-0.0625,0.992188
0.082134,0.039062,-0.085938,0.984375
0.08246,0.023438,-0.054688,0.960938
0.082786,0.03125,-0.078125,0.984375
0.083111,0.054688,-0.078125,0.96875
0.083437,0.03125,-0.085938,0.960938
0.083763,0.054688,-0.117188,1.007812
0.084089,0.054688,-0.054688,0.96875
0.084415,0.0625,-0.078125,1.007812
0.084741,0.015625,-0.0625,0.960938
0.085067,0.078125,-0.070312,1.0
0.085393,0.015625,-0.0625,0.953125
0.085719,0.0625,-0.046875,0.976562
0.086045,0.054688,-0.085938,1.0
0.086371,0.03125,-0.09375,1.023438
0.086697,0.0625,-0.054688,1.0
0.087023,0.054688,-0.039062,0.96875
0.087349,0.0,-0.0625,0.992188
0.087674,0.023438,-0.070312,0.992188
0.088,0.0625,-0.125,0.984375
0.088326,0.023438,-0.085938,0.960938
0.088652,0.070312,-0.070312,1.015625
0.088978,0.0625,-0.039062,1.0
0.089304,0.039062,-0.0625,0.960938
0.08963,0.039062,-0.085938,0.992188
0.089956,0.03125,-0.117188,0.960938
0.090282,0.039062,-0.054688,0.992188
0.090608,0.039062,-0.054688,0.953125
0.090934,0.039062,-0.039062,0.984375
0.09126,0.070312,-0.070312,1.007812
0.091586,0.054688,-0.101562,0.992188
0.091911,0.046875,-0.101562,1.023438
0.092237,0.0625,-0.0625,1.0
0.092563,0.070312,-0.101562,1.0
0.092889,0.0625,-0.070312,0.984375
0.093215,0.046875,-0.054688,0.992188
0.093541,0.015625,-0.0625,1.007812
0.093867,0.046875,-0.0625,0.984375
0.094193,0.0625,-0.078125,1.0
0.094519,0.054688,-0.078125,0.992188
0.094845,0.054688,-0.101562,0.992188
0.095171,0.023438,-0.0625,0.9375
0.095497,0.03125,-0.039062,0.96875
0.095823,0.015625,-0.039062,1.0
0.096149,0.070312,-0.039062,0.960938
0.096474,0.054688,-0.046875,1.015625
0.0968,0.007812,-0.078125,0.992188
0.097126,0.007812,-0.101562,1.0
0.097452,0.015625,-0.046875,0.960938
0.097778,0.046875,-0.0625,1.0
0.098104,0.046875,-0.0625,1.023438
0.09843,0.039062,-0.0625,1.007812
0.098756,0.054688,-0.0625,0.992188
0.099082,0.039062,-0.054688,0.992188
0.099408,0.03125,-0.0625,0.960938
0.099734,0.023438,-0.101562,0.984375
0.10006,0.03125,-0.101562,0.992188
0.100386,0.046875,-0.039062,0.984375
0.100712,0.007812,-0.039062,0.992188
0.101037,0.015625,-0.054688,0.960938
0.101363,0.015625,-0.070312,0.992188
0.101689,0.023438,-0.046875,1.007812
0.102015,0.054688,-0.085938,1.0
0.102341,0.03125,-0.101562,0.960938
0.102667,0.03125,-0.039062,0.976562
0.102993,0.054688,-0.09375,0.992188
0.103319,0.007812,-0.046875,1.007812
0.103645,0.070312,-0.046875,0.96875
0.103971,0.054688,-0.085938,1.007812
0.104297,0.054688,-0.0625,0.984375
0.104623,0.023438,-0.078125,0.976562
0.104949,0.046875,-0.101562,1.0
0.105275,0.054688,-0.085938,0.992188
0.1056,0.054688,-0.046875,0.945312
0.105926,0.039062,-0.046875,0.984375
0.106252,0.046875,-0.046875,0.992188
0.106578,0.03125,-0.085938,0.914062
0.106904,0.046875,-0.070312,0.976562
0.10723,0.039062,-0.101562,0.992188
0.107556,0.023438,-0.0625,0.992188
0.107882,0.0,-0.070312,1.0
0.108208,0.023438,-0.046875,0.945312
0.108534,0.0625,-0.0625,0.992188
0.10886,0.03125,-0.070312,0.96875
0.109186,0.023438,-0.0625,0.96875
0.109512,0.070312,-0.070312,1.015625
0.109837,0.03125,-0.109375,0.992188
0.110163,0.0,-0.085938,0.984375
0.110489,0.03125,-0.0625,0.992188
0.110815,0.039062,-0.09375,0.96875
0.111141,0.046875,-0.078125,0.960938
0.111467,0.046875,-0.101562,0.945312
0.111793,0.0,-0.054688,0.960938
0.112119,0.046875,-0.078125,1.0
0.112445,0.023438,-0.09375,0.960938
0.112771,0.039062,-0.109375,0.898438
0.113097,0.070312,-0.0625,1.0
0.113423,0.046875,-0.054688,0.976562
0.113749,0.023438,-0.054688,1.0
0.114075,0.039062,-0.054688,0.96875
0.1144,0.070312,-0.070312,0.960938
0.114726,0.039062,-0.046875,1.007812
0.115052,0.0625,-0.039062,0.960938
0.115378,0.054688,-0.070312,0.96875
0.115704,0.078125,-0.023438,0.96875
0.11603,0.070312,-0.0625,0.96875
0.116356,0.015625,-0.070312,1.0
0.116682,0.039062,-0.101562,0.976562
0.117008,0.023438,-0.101562,1.0
0.117334,0.054688,-0.054688,1.0
0.11766,0.054688,-0.070312,0.984375
0.117986,0.015625,-0.078125,0.960938
0.118312,0.03125,-0.054688,0.96875
0.118638,0.046875,-0.101562,0.976562
0.118963,0.070312,-0.085938,0.992188
0.119289,0.039062,-0.085938,1.0
0.119615,0.054688,-0.070312,1.007812
0.119941,0.039062,-0.085938,0.96875
0.120267,0.070312,-0.039062,1.0
0.120593,0.03125,-0.0625,0.992188
0.120919,0.023438,-0.085938,1.007812
0.121245,0.070312,-0.070312,0.960938
0.121571,0.054688,-0.023438,0.929688
0.121897,0.054688,-0.078125,0.96875
0.122223,0.0625,-0.078125,1.0
0.122549,0.023438,-0.054688,0.953125
0.122875,0.0,-0.070312,0.984375
0.123201,0.070312,-0.0625,1.007812
0.123526,0.023438,-0.039062,0.992188
0.123852,0.070312,-0.054688,0.992188
0.124178,0.007812,-0.0625,1.0
0.124504,0.054688,-0.0625,0.960938
0.12483,0.03125,-0.070312,0.976562
0.125156,0.046875,-0.09375,0.992188
0.125482,0.015625,-0.070312,0.960938
0.125808,0.039062,-0.078125,0.960938
0.126134,0.039062,-0.078125,0.984375
0.12646,0.023438,-0.054688,0.984375
0.126786,0.046875,-0.085938,0.960938
0.127112,0.054688,-0.070312,0.984375
0.127438,0.015625,-0.046875,0.945312
0.127763,0.0625,-0.078125,0.992188
0.128089,0.054688,-0.09375,0.984375
0.128415,0.015625,-0.039062,0.992188
0.128741,0.023438,-0.085938,0.992188
0.129067,0.054688,-0.070312,1.0
0.129393,0.046875,-0.054688,0.992188
0.129719,0.054688,-0.070312,0.96875
0.130045,0.054688,-0.0625,0.976562
0.130371,0.015625,-0.070312,0.953125
0.130697,0.054688,-0.046875,0.945312
0.131023,0.054688,-0.046875,1.0
0.131349,0.054688,-0.085938,0.984375
0.131675,0.0625,-0.070312,0.992188
0.132001,0.054688,-0.109375,0.984375
0.132326,0.078125,-0.039062,0.992188
0.132652,0.0625,-0.054688,1.015625
0.132978,0.007812,-0.085938,0.976562
0.133304,0.03125,-0.109375,1.0
0.13363,0.039062,-0.078125,0.976562
0.133956,0.046875,-0.046875,1.0
0.134282,0.039062,-0.085938,0.976562
0.134608,0.015625,-0.070312,0.984375
0.134934,0.054688,-0.078125,1.0
0.13526,0.023438,-0.054688,1.023438
0.135586,0.03125,-0.09375,1.007812
0.135912,0.0625,-0.085938,1.015625
0.136238,0.070312,-0.0625,0.9375
0.136564,0.054688,-0.085938,0.9375
0.136889,0.054688,-0.0625,0.984375
0.137215,0.039062,-0.078125,0.984375
0.137541,0.023438,-0.0625,0.992188
0.137867,0.03125,-0.101562,0.992188
0.138193,0.054688,-0.054688,1.0
0.138519,0.0,-0.054688,1.0
0.138845,0.03125,-0.09375,0.992188
0.139171,0.015625,-0.078125,0.96875
0.139497,0.0625,-0.078125,0.984375
0.139823,0.054688,-0.039062,0.953125
0.140149,0.039062,-0.109375,0.96875
0.140475,0.039062,-0.03125,0.9375
0.140801,0.054688,-0.117188,0.992188
0.141127,0.054688,-0.070312,0.953125
0.141452,0.054688,-0.101562,0.992188
0.141778,0.023438,-0.101562,0.960938
0.142104,0.03125,-0.070312,0.976562
0.14243,0.046875,-0.054688,0.992188
0.142756,0.054688,-0.09375,1.0
0.143082,0.046875,-0.0625,0.976562
0.143408,0.039062,-0.039062,0.992188
0.143734,0.007812,-0.046875,0.945312
0.14406,0.039062,-0.078125,0.992188
0.144386,0.023438,-0.085938,0.992188
0.144712,0.046875,-0.101562,0.960938
0.145038,0.039062,-0.046875,1.0
0.145364,0.046875,-0.09375,1.015625
0.145689,0.046875,-0.046875,1.03125
0.146015,0.023438,-0.09375,0.960938
0.146341,0.054688,-0.078125,0.992188
0.146667,0.054688,-0.078125,0.96875
0.146993,0.023438,-0.0625,0.984375
0.147319,0.054688,-0.054688,0.992188
0.147645,0.039062,-0.0625,0.96875
0.147971,0.039062,-0.046875,0.976562
0.148297,0.03125,-0.0625,0.953125
0.148623,0.054688,-0.078125,1.0
0.148949,0.046875,-0.046875,0.953125
0.149275,0.015625,-0.070312,0.945312
0.149601,0.046875,-0.0625,0.953125
0.149927,0.070312,-0.085938,0.976562
0.150252,0.0,-0.0625,1.0
0.150578,0.03125,-0.046875,0.921875
0.150904,0.054688,-0.039062,0.992188
0.15123,0.078125,-0.054688,0.984375
0.151556,0.039062,-0.0625,0.945312
0.151882,0.023438,-0.101562,1.015625
0.152208,0.054688,-0.085938,0.96875
0.152534,0.070312,-0.085938,1.023438
0.15286,0.0625,-0.085938,0.96875
0.153186,0.023438,-0.0625,0.960938
0.153512,0.023438,-0.078125,0.976562
0.153838,0.0,-0.09375,0.960938
0.154164,0.046875,-0.039062,0.976562
0.15449,0.054688,-0.078125,0.96875
0.154815,0.023438,-0.039062,1.007812
0.155141,0.023438,-0.09375,0.9375
0.155467,0.046875,-0.09375,0.960938
0.155793,0.015625,-0.078125,0.992188
0.156119,0.085938,-0.070312,0.992188
0.156445,0.0625,-0.070312,1.0
0.156771,0.046875,-0.070312,0.96875
0.157097,0.039062,-0.101562,1.0
0.157423,0.023438,-0.070312,0.984375
0.157749,0.046875,-0.03125,0.992188
0.158075,0.03125,-0.109375,0.984375
0.158401,0.078125,-0.0625,0.976562
0.158727,0.023438,-0.054688,1.0
0.159053,0.070312,-0.054688,0.960938
0.159378,0.007812,-0.085938,1.0
0.159704,0.039062,-0.085938,0.960938
0.16003,0.0625,-0.070312,0.960938
0.160356,0.054688,-0.09375,0.96875
0.160682,0.0625,-0.085938,1.03125
0.161008,0.03125,-0.0625,0.984375
0.161334,0.039062,-0.0625,0.984375
0.16166,0.046875,-0.078125,0.976562
0.161986,0.03125,-0.0625,0.921875
0.162312,0.054688,-0.0625,0.960938
0.162638,0.007812,-0.070312,0.992188
0.162964,0.054688,-0.070312,0.992188
0.16329,0.03125,-0.0625,1.0
0.163615,0.015625,-0.054688,0.984375
0.163941,0.039062,-0.078125,0.960938
0.164267,0.0625,-0.101562,0.96875
0.164593,0.023438,-0.039062,0.992188
0.164919,0.03125,-0.09375,1.015625
0.165245,0.0,-0.109375,1.023438
0.165571,0.0625,-0.039062,0.945312
0.165897,0.046875,-0.0625,1.054688
0.166223,0.078125,-0.039062,0.960938
0.166549,0.09375,-0.0625,0.976562
0.166875,0.0,-0.070312,1.0
0.167201,0.007812,-0.085938,1.007812
0.167527,0.007812,-0.085938,1.015625
0.167853,0.023438,-0.054688,0.960938
0.168178,0.023438,-0.0625,0.960938
0.168504,0.015625,-0.0625,1.0
0.16883,0.0625,-0.078125,1.0
0.169156,0.03125,-0.101562,1.023438
0.169482,0.023438,-0.0625,0.984375
0.169808,0.023438,-0.070312,1.023438
0.170134,0.007812,-0.039062,0.984375
0.17046,0.023438,-0.078125,1.0
0.170786,0.070312,-0.070312,0.984375
0.171112,0.03125,-0.039062,0.96875
0.171438,0.023438,-0.054688,0.96875
0.171764,0.039062,-0.039062,0.914062
0.17209,0.023438,-0.046875,0.976562
0.172416,0.03125,-0.085938,1.015625
0.172741,0.046875,-0.070312,0.96875
0.173067,0.023438,-0.054688,0.921875
0.173393,0.039062,-0.039062,0.953125
0.173719,0.046875,-0.085938,1.03125
0.174045,0.0625,-0.046875,0.984375
0.174371,0.054688,-0.085938,0.976562
0.174697,0.085938,-0.070312,0.960938
0.175023,0.078125,-0.085938,0.96875
0.175349,0.039062,-0.039062,0.953125
0.175675,0.054688,-0.0625,1.023438
0.176001,0.015625,-0.085938,1.007812
0.176327,0.0,-0.0625,1.023438
0.176653,0.039062,-0.078125,0.984375
0.176979,0.03125,-0.039062,0.929688
0.177304,0.03125,-0.09375,0.992188
0.17763,0.046875,-0.078125,0.992188
0.177956,0.039062,-0.09375,1.015625
0.178282,0.015625,-0.109375,1.0
0.178608,0.046875,-0.09375,1.0
0.178934,0.023438,-0.085938,1.023438
0.17926,0.023438,-0.070312,0.992188
0.179586,0.054688,-0.03125,1.0
0.179912,0.078125,-0.070312,1.0
0.180238,0.054688,-0.09375,0.976562
0.180564,0.007812,-0.070312,0.96875
0.18089,0.054688,-0.078125,0.960938
0.181216,0.054688,-0.09375,0.976562
0.181541,0.054688,-0.09375,1.054688
0.181867,0.039062,-0.085938,0.96875
0.182193,0.054688,-0.085938,0.953125
0.182519,0.101562,-0.070312,0.96875
0.182845,0.039062,-0.085938,0.984375
0.183171,0.0625,-0.078125,0.960938
0.183497,0.039062,-0.054688,0.960938
0.183823,0.0,-0.070312,0.96875
0.184149,0.0625,-0.078125,1.0
0.184475,0.023438,-0.0625,0.992188
0.184801,0.007812,-0.078125,0.992188
0.185127,0.0,-0.070312,0.96875
0.185453,0.023438,-0.109375,0.992188
0.185779,0.054688,-0.046875,0.960938
0.186104,0.085938,-0.09375,1.015625
0.18643,0.0,-0.085938,1.054688
0.186756,0.023438,-0.085938,1.0
0.187082,0.03125,-0.078125,1.007812
0.187408,0.039062,-0.039062,0.960938
0.187734,0.0,-0.078125,1.03125
0.18806,0.03125,-0.09375,0.984375
0.188386,0.046875,-0.101562,0.960938
0.188712,0.046875,-0.070312,0.992188
0.189038,0.015625,-0.054688,0.976562
0.189364,0.0,-0.078125,0.992188
0.18969,0.007812,-0.046875,1.007812
0.190016,0.054688,-0.085938,1.015625
0.190342,0.054688,-0.101562,0.984375
0.190667,0.015625,-0.09375,0.96875
0.190993,0.023438,-0.046875,0.898438
0.191319,0.03125,-0.070312,1.03125
0.191645,0.039062,-0.09375,1.007812
0.191971,0.054688,-0.117188,0.992188
0.192297,0.054688,-0.148438,0.96875
0.192623,0.023438,-0.070312,0.992188
0.192949,0.070312,-0.070312,0.921875
0.193275,0.023438,-0.0625,0.984375
0.193601,0.046875,-0.085938,0.960938
0.193927,0.015625,-0.078125,0.976562
0.194253,0.03125,-0.101562,0.96875
0.194579,0.007812,-0.09375,0.984375
0.194905,0.039062,-0.054688,0.992188
0.19523,0.023438,-0.085938,0.96875
0.195556,0.054688,-0.117188,1.015625
0.195882,0.054688,-0.085938,1.0
0.196208,0.054688,-0.070312,1.007812
0.196534,0.054688,-0.09375,1.0
0.19686,0.039062,-0.03125,0.992188
0.197186,0.03125,-0.070312,0.992188
0.197512,0.007812,-0.046875,1.0
0.197838,0.0625,-0.039062,0.984375
0.198164,0.015625,-0.023438,0.96875
0.19849,0.039062,-0.070312,1.0
0.198816,0.046875,-0.09375,0.96875
0.199142,0.023438,-0.039062,1.0
0.199467,0.0625,-0.054688,0.992188
0.199793,0.0625,-0.0625,1.023438
0.200119,0.03125,-0.0625,0.945312
0.200445,0.054688,-0.09375,0.976562
0.200771,0.023438,-0.070312,1.0
0.201097,0.039062,-0.085938,0.976562
0.201423,0.046875,-0.085938,0.984375
0.201749,0.03125,-0.046875,0.929688
0.202075,0.007812,-0.039062,0.960938
0.202401,0.023438,-0.09375,0.953125
0.202727,0.039062,-0.054688,0.992188
0.203053,0.03125,-0.0625,0.984375
0.203379,0.054688,-0.054688,0.96875
0.203705,0.054688,-0.09375,0.984375
0.20403,0.015625,-0.054688,0.976562
0.204356,0.039062,-0.046875,0.992188
0.204682,0.023438,-0.070312,0.984375
0.205008,0.023438,-0.09375,0.960938
0.205334,0.0625,-0.0625,0.976562
0.20566,0.039062,-0.085938,0.945312
0.205986,0.039062,-0.0625,0.96875
0.206312,0.023438,-0.09375,0.945312
0.206638,0.0,-0.054688,0.960938
0.206964,0.054688,-0.09375,0.960938
0.20729,0.054688,-0.101562,0.992188
0.207616,0.054688,-0.101562,0.992188
0.207942,0.03125,-0.023438,0.96875
0.208268,0.03125,-0.039062,0.960938
0.208593,0.054688,-0.054688,0.984375
0.208919,0.054688,-0.0625,0.96875
0.209245,0.039062,-0.046875,0.960938
0.209571,0.039062,-0.0625,0.992188
0.209897,0.039062,-0.078125,1.007812
0.210223,0.039062,-0.101562,0.976562
0.210549,0.007812,-0.0625,0.976562
0.210875,0.007812,-0.085938,1.007812
0.211201,0.054688,-0.054688,0.984375
0.211527,0.039062,-0.070312,0.953125
0.211853,0.03125,-0.117188,0.953125
0.212179,0.039062,-0.046875,0.976562
0.212505,0.078125,-0.070312,0.992188
0.212831,0.054688,-0.054688,1.0
0.213156,0.070312,-0.070312,1.0
0.213482,0.054688,-0.09375,0.992188
0.213808,0.015625,-0.070312,0.960938
0.214134,0.054688,-0.09375,0.953125
0.21446,0.007812,-0.054688,0.984375
0.214786,0.054688,-0.078125,0.984375
0.215112,0.03125,-0.046875,1.0
0.215438,0.039062,-0.125,0.992188
0.215764,0.054688,-0.09375,1.0
0.21609,0.046875,-0.070312,0.96875
0.216416,0.023438,-0.046875,1.03125
0.216742,0.03125,-0.039062,0.960938
0.217068,0.015625,-0.0625,0.953125
0.217394,0.046875,-0.039062,0.992188
0.217719,0.054688,-0.023438,0.976562
0.218045,0.054688,-0.070312,0.984375
0.218371,0.070312,-0.101562,0.960938
0.218697,0.03125,-0.046875,0.992188
