Time [s],X [g],Y [g],Z [g]
0.0,-0.00390625,0.0,0.91796875
0.0024438775510204082,-0.0234375,0.0,0.9921875
0.0048877551020408165,-0.01953125,-0.00390625,0.9921875
0.007331632653061224,-0.01953125,-0.0078125,0.9921875
0.009775510204081633,-0.0078125,0.00390625,0.953125
0.012219387755102042,-0.01953125,-0.00390625,0.99609375
0.014663265306122449,-0.01171875,0.0,0.99609375
0.01710714285714286,-0.01953125,-0.0234375,0.98046875
0.019551020408163266,-0.0234375,-0.03125,0.984375
0.021994897959183673,-0.02734375,0.01171875,1.01953125
0.024438775510204083,0.0,-0.015625,1.01171875
0.02688265306122449,-0.00390625,-0.05078125,0.98046875
0.029326530612244897,-0.0390625,-0.0234375,1.00390625
0.031770408163265304,0.0,-0.0078125,1.01953125
0.03421428571428572,0.00390625,0.01171875,0.9921875
0.036658163265306125,0.0,-0.04296875,1.02734375
0.03910204081632653,-0.0078125,-0.01953125,1.01171875
0.04154591836734694,0.015625,-0.03125,0.98828125
0.043989795918367346,-0.03515625,-0.0078125,0.96875
0.04643367346938776,-0.0234375,-0.046875,0.99609375
0.048877551020408166,-0.0234375,-0.015625,1.05078125
0.05132142857142857,-0.0234375,-0.01171875,1.01171875
0.05376530612244898,-0.0078125,-0.02734375,1.0078125
0.05620918367346939,-0.015625,-0.01953125,0.9921875
0.058653061224489794,-0.0078125,-0.03125,0.98828125
0.06109693877551021,-0.01953125,0.0,0.9765625
0.06354081632653061,-0.01171875,-0.01171875,1.01171875
0.06598469387755103,0.0,0.00390625,0.97265625
0.06842857142857144,-0.015625,-0.01171875,1.0078125
0.07087244897959184,-0.01953125,-0.015625,1.015625
0.07331632653061225,-0.0234375,0.00390625,0.98046875
0.07576020408163266,-0.04296875,-0.01171875,0.99609375
0.07820408163265306,-0.01953125,-0.0234375,1.01171875
0.08064795918367347,-0.015625,-0.00390625,0.97265625
0.08309183673469388,-0.03125,-0.03125,0.9609375
0.08553571428571428,-0.00390625,-0.02734375,1.00390625
0.08797959183673469,-0.01953125,-0.03515625,0.99609375
0.0904234693877551,-0.015625,-0.03515625,0.97265625
0.09286734693877552,-0.01171875,-0.0234375,0.99609375
0.09531122448979593,-0.015625,-0.03125,1.00390625
