Time [s],X [g],Y [g],Z [g]
0.0,-0.04296875,-0.01171875,0.94140625
0.0024492330168005847,-0.0546875,-0.01171875,0.98828125
0.004898466033601169,-0.0625,-0.0234375,0.98046875
0.007347699050401754,-0.03515625,-0.0390625,0.98828125
0.009796932067202339,-0.02734375,-0.04296875,0.984375
0.012246165084002923,-0.03515625,-0.0234375,1.00390625
0.014695398100803508,-0.03515625,-0.03125,1.00390625
0.017144631117604094,-0.07421875,0.00390625,1.0
0.019593864134404677,-0.04296875,-0.01171875,0.96484375
0.02204309715120526,-0.05859375,-0.0234375,1.0078125
0.024492330168005845,-0.0390625,-0.01953125,0.98828125
0.026941563184806432,-0.06640625,-0.01171875,0.99609375
0.029390796201607016,-0.05859375,-0.015625,0.984375
0.0318400292184076,-0.05078125,-0.015625,0.96484375
0.03428926223520819,-0.03125,-0.015625,0.96875
0.03673849525200877,-0.02734375,-0.046875,1.00390625
0.039187728268809355,-0.0390625,-0.02734375,1.015625
0.04163696128560994,-0.03125,-0.015625,0.98046875
0.04408619430241052,-0.0546875,-0.015625,0.98046875
0.046535427319211106,-0.04296875,-0.0078125,0.98828125
0.04898466033601169,-0.03125,-0.02734375,1.0
0.05143389335281228,-0.0625,-0.0234375,0.96875
0.053883126369612865,-0.0546875,-0.015625,0.99609375
0.05633235938641345,-0.0546875,-0.015625,1.0
0.05878159240321403,-0.0390625,-0.01171875,1.00390625
0.061230825420014616,-0.05859375,-0.03125,0.9765625
0.0636800584368152,-0.0390625,-0.015625,0.9921875
0.06612929145361579,-0.046875,-0.03515625,0.97265625
0.06857852447041637,-0.05859375,-0.015625,1.0078125
0.07102775748721696,-0.04296875,-0.015625,1.0
0.07347699050401754,-0.046875,-0.02734375,0.98828125
0.07592622352081813,-0.05078125,-0.01953125,0.9765625
0.07837545653761871,-0.046875,-0.015625,1.015625
0.0808246895544193,-0.046875,-0.03125,0.99609375
0.08327392257121988,-0.0546875,-0.03515625,1.0
0.08572315558802046,-0.03515625,-0.03515625,1.0
0.08817238860482104,-0.05078125,-0.0078125,0.98046875
0.09062162162162163,-0.046875,-0.0390625,0.9921875
0.09307085463842221,-0.046875,-0.03125,0.9921875
0.0955200876552228,-0.04296875,-0.01953125,0.9921875
0.09796932067202338,-0.046875,-0.02734375,0.9765625
0.10041855368882398,-0.06640625,-0.01953125,0.984375
0.10286778670562456,-0.06640625,-0.03515625,1.01171875
0.10531701972242515,-0.0546875,-0.03125,0.98828125
0.10776625273922573,-0.0625,-0.04296875,0.984375
0.11021548575602631,-0.0546875,-0.0234375,0.9921875
0.1126647187728269,-0.03515625,-0.0234375,1.0
0.11511395178962748,-0.05859375,-0.0390625,0.99609375
0.11756318480642806,-0.05078125,-0.05078125,0.98828125
0.12001241782322865,-0.03515625,-0.02734375,0.99609375
0.12246165084002923,-0.05859375,-0.0546875,0.99609375
0.12491088385682982,-0.03125,-0.0390625,0.99609375
0.1273601168736304,-0.04296875,-0.02734375,0.98046875
0.129809349890431,-0.0390625,-0.01953125,1.0
0.13225858290723158,-0.03515625,-0.015625,0.9921875
0.13470781592403216,-0.03515625,-0.0390625,0.9921875
0.13715704894083275,-0.046875,-0.03125,0.984375
0.13960628195763333,-0.03515625,-0.01953125,1.0
0.14205551497443392,-0.04296875,-0.01171875,0.98046875
0.1445047479912345,-0.04296875,-0.00390625,0.99609375
0.14695398100803508,-0.0546875,-0.03515625,0.99609375
0.14940321402483567,-0.04296875,-0.03125,0.99609375
0.15185244704163625,-0.03125,-0.0234375,1.0
0.15430168005843684,-0.03515625,-0.046875,0.98046875
0.15675091307523742,-0.0703125,-0.03515625,1.0078125
0.159200146092038,-0.06640625,-0.01953125,1.0078125
0.1616493791088386,-0.05078125,-0.03515625,1.0
0.16409861212563917,-0.05859375,-0.03515625,0.97265625
0.16654784514243975,-0.03125,-0.046875,1.00390625
0.16899707815924034,-0.0390625,-0.05078125,0.99609375
0.17144631117604092,-0.0625,-0.0390625,0.984375
0.1738955441928415,-0.03515625,-0.03125,0.99609375
0.1763447772096421,-0.04296875,-0.0234375,1.00390625
0.17879401022644267,-0.05078125,-0.01171875,0.97265625
0.18124324324324326,-0.05078125,-0.03515625,0.9921875
0.18369247626004384,-0.05859375,-0.0234375,1.0
0.18614170927684442,-0.046875,-0.01171875,0.98046875
0.188590942293645,-0.05078125,-0.02734375,0.984375
0.1910401753104456,-0.04296875,-0.0234375,0.984375
0.19348940832724618,-0.046875,-0.05078125,0.98828125
0.19593864134404676,-0.0546875,-0.03125,0.98046875
0.19838787436084737,-0.04296875,-0.03515625,0.9765625
0.20083710737764796,-0.02734375,-0.0078125,0.99609375
0.20328634039444854,-0.05859375,-0.015625,0.9921875
0.20573557341124912,-0.06640625,-0.03515625,1.00390625
